date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:54	73179/73179	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:08:52%20GMT	https://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg.webp?v=1678968686	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg371f.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:08:54	598/598	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:0db3d018a504a2416bf3067e7c851500%22	https://wegotkickspr.com/products/supreme-socks.oembed	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/products/supreme-socks.oembed	(from https://wegotkickspr.com/products/supreme-socks)
21:08:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:52%20GMT	http://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg.webp?v=1678968686&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg5a34.webp	(from https://wegotkickspr.com/products/supreme-socks)
21:08:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:53%20GMT	http://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp.jpg?v=1678968686&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp5a34.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:08:56	73179/73179	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:08:53%20GMT	https://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg.webp?v=1678968686&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg5a34.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:08:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:55%20GMT	http://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg.webp?v=1678968686&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg3d77.webp	(from https://wegotkickspr.com/products/supreme-socks)
21:08:58	149924/149924	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:08:54%20GMT	https://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp.jpg?v=1678968686&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp5a34.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:09:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:56%20GMT	http://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp.jpg?v=1678968686&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Socks-4-Pack-Black_2048x_webp3d77.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:09:00	73179/73179	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:08:56%20GMT	https://wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg.webp?v=1678968686&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/Supreme-Hanes-Crew-Socks-Crew-Socks-4-Pack-White-1100x786_jpg3d77.jpg	(from https://wegotkickspr.com/products/supreme-socks)
21:09:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:08:58%20GMT	http://wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baad.webp?v=1707371438	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/1b4d121e3c8404d56ecbdb4211c8baada4f8.webp	(from https://wegotkickspr.com/products/supreme-logo-waist-bag-black)
